feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
age,0.48043218,-0.61970526,-0.41212514,0.025182746,-0.060283974,0.0022736965,0.014013587,-0.11678153,0.35479903,0.095658906,0.11436656
avg_glucose_level,0.7323358,0.6480294,-0.13015072,0.12843527,0.06960204,0.035829205,0.00849679,0.020639783,-0.015394773,-0.0040548006,-0.010850228
bmi,0.36045483,-0.20925455,0.86511695,-0.07557384,0.048742548,-0.13674565,-0.15592761,-0.075059816,0.11593012,-0.033248994,0.00059122016
hypertension,0.07553993,-0.045555953,-0.00442873,0.022542197,0.063320026,-0.13479754,0.05550797,0.12895678,0.14509399,0.22385883,-0.08953295
heart_disease,0.06597673,0.0010218648,-0.037170436,-0.046000853,-0.07002454,0.017409597,0.0004205435,-0.006477576,0.087317154,0.20624046,0.100008994
gender_Female,-0.051113892,-0.08522483,0.05144883,0.5515643,0.31686816,0.24758352,-0.12092051,0.018121712,-0.010170366,0.06593335,-0.007995193
gender_Male,0.05114701,0.08497214,-0.051368743,-0.55145246,-0.31701514,-0.2478299,0.12091882,-0.01884075,0.009923643,-0.06596916,0.007828341
gender_Other,-3.3126704e-05,0.00025268795,-8.011958e-05,-0.00011215074,0.00014673709,0.00024640112,1.752159e-06,0.00071909133,0.00024675237,3.569615e-05,0.00016701024
ever_married_No,-0.17212531,0.1974201,0.06298768,0.05858104,0.009911079,-0.12828843,0.053943377,0.1359959,0.5165534,0.23781985,0.16896027
ever_married_Yes,0.17212534,-0.1974201,-0.0629877,-0.058581147,-0.009911156,0.12828843,-0.053943526,-0.13599575,-0.51655334,-0.23781994,-0.16896039
work_type_Govt_job,0.008342374,-0.012067593,-0.019373752,0.074350975,0.03883787,-0.14115235,-0.09719231,-0.16067994,-0.11923408,-0.21482626,0.7262389
work_type_Never_worked,-0.0016680635,0.0021696696,0.0007010883,0.0014489717,-0.00035832566,-0.0026439128,0.001346299,0.0017642713,0.00083688035,-0.00011686357,0.0012295566
work_type_Private,0.04615557,-0.027344689,0.14333266,-0.15276437,-0.14033572,0.6731907,0.36401373,0.029340385,0.1471891,0.06893166,-0.17021464
work_type_Self-employed,0.04624035,-0.10275262,-0.09982023,0.07580009,0.105060555,-0.45254183,-0.18323971,0.14700568,-0.0784979,0.17794998,-0.5065414
work_type_children,-0.09907028,0.13999537,-0.024839645,0.001164306,-0.0032044153,-0.076852575,-0.084927954,-0.01743068,0.049705837,-0.031938538,-0.050712362
Residence_type_Rural,-0.010071277,0.0071098837,-0.063886136,-0.36556083,0.59298897,0.06081825,-0.014161424,-0.05693766,0.044267405,0.019185998,0.019732345
Residence_type_Urban,0.010071277,-0.0071098856,0.06388615,0.36556086,-0.59298897,-0.06081826,0.014161422,0.05693766,-0.04426741,-0.019185996,-0.01973235
smoking_status_Unknown,-0.09961337,0.1336028,-0.058606558,0.013076932,-0.08056606,0.06786742,-0.32781154,-0.6031183,0.32976583,-0.21200217,-0.23450933
smoking_status_formerly smoked,0.056420658,-0.06898177,-0.042950284,-0.11580675,-0.029023323,0.1544226,-0.3307604,0.7051018,0.06850648,-0.28888783,0.077231124
smoking_status_never smoked,0.022600714,-0.0629184,0.056458514,0.19029945,0.17782268,-0.2865461,0.72954047,-0.002227191,-0.030725548,-0.21704464,-0.026013026
smoking_status_smokes,0.020592012,-0.0017025842,0.04509833,-0.08756961,-0.06823329,0.06425589,-0.07096848,-0.09975608,-0.3675467,0.7179346,0.18329118
