component,explained_variance_ratio,cumulative_explained_variance
1,0.3088422205385895,0.3088422205385895
2,0.1560267657827504,0.4648689863213399
3,0.11855479996679578,0.5834237862881356
4,0.08492606682962102,0.6683498531177566
5,0.08244662976139125,0.7507964828791479
6,0.05671523370419364,0.8075117165833415
7,0.04859395811539784,0.8561056746987393
8,0.03338451049910002,0.8894901851978394
9,0.030804936983765706,0.9202951221816051
10,0.026357233905148738,0.9466523560867539
11,0.022903905140796252,0.9695562612275501
