feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
age,0.630903,-0.17584634,-0.5300102,-0.0068828748,0.059086606,-0.09170789,-0.017576512,0.395889,0.20173654,0.124259904,0.15626873
avg_glucose_level,0.31446752,0.9402163,0.015106919,0.007649654,-0.11031291,0.031224731,-0.022838337,-0.03274508,-0.013661753,-0.0007378562,-0.0020382951
bmi,0.5301641,-0.17221066,0.798412,0.024186123,0.060827572,-0.18363284,0.058262743,0.040560897,0.057948455,-0.0030731256,-0.0046319766
hypertension,0.062381167,0.017779078,-0.02180689,-0.00018470603,0.012593636,-0.015844772,0.04216087,0.07873935,0.008326808,0.036550883,-0.01511647
heart_disease,0.03325523,0.015580142,-0.039468586,0.0006604108,0.030896237,-0.011992544,-0.006404601,0.070513345,0.007420174,0.036694106,0.012905933
gender_Female,0.0139529575,-0.08057582,-0.00029478266,-0.038088765,-0.6837087,-0.13413534,-0.07261877,0.011766644,-0.010230642,-0.0052327123,0.0046938546
gender_Male,-0.013869789,0.0802279,0.00030485846,0.038371466,0.6837235,0.13389555,0.07298713,-0.012465698,0.011080888,0.005959935,-0.00477675
gender_Other,-8.316871e-05,0.00034793498,-1.0053507e-05,-0.00028269403,-1.5055949e-05,0.00023995935,-0.00036845522,0.00069908495,-0.00085037434,-0.00072738767,8.294064e-05
ever_married_No,-0.25908422,0.102859914,0.15899791,0.008326602,-0.018097539,-0.014225492,0.10076137,0.59314567,-0.004284647,0.12596752,0.119911954
ever_married_Yes,0.25908422,-0.102859855,-0.15899792,-0.008326551,0.018097524,0.014225522,-0.10076126,-0.59314567,0.0042847362,-0.12596749,-0.11991206
work_type_Govt_job,0.03243516,-0.014713183,-0.024686396,0.010746892,0.006282054,-0.16439196,0.21157749,-0.1966175,-0.17310466,0.057608582,0.7109019
work_type_Never_worked,-0.0034644078,0.0015731532,0.002912868,0.0023603668,-0.00027635955,0.0010148099,0.009295381,0.004233187,-0.002182818,0.00038151725,0.00066799804
work_type_Private,0.08231028,-0.06520489,0.11164227,-0.039807428,-0.054117642,0.6113646,-0.54248047,0.12816475,0.13974656,-0.033239994,-0.034278594
work_type_Self-employed,0.06830828,-0.013252055,-0.10862269,0.013766468,0.014634585,-0.28026733,0.27086252,0.10368388,-0.04864755,0.029201062,-0.65362704
work_type_children,-0.17958939,0.09159696,0.018753767,0.012933736,0.033477355,-0.16772023,0.050745104,-0.03946435,0.08418854,-0.053951293,-0.023664877
Residence_type_Rural,-0.002620999,0.012966186,0.013767494,-0.7037176,0.046843234,-0.042667508,-0.00552831,0.0013841916,-0.014491262,0.012242224,-5.4255113e-05
Residence_type_Urban,0.0026209992,-0.0129661895,-0.013767498,0.70371795,-0.046843253,0.042667523,0.0055283103,-0.0013842125,0.014491301,-0.0122422,5.4206568e-05
smoking_status_Unknown,-0.16592868,0.072537445,0.024298094,0.017021475,0.07078274,-0.3702361,-0.25793275,-0.074590065,0.6818899,-0.002314265,0.06775643
smoking_status_formerly smoked,0.067181595,-0.013777389,-0.04814874,0.010552679,0.06372851,-0.12524524,-0.18349527,0.20717451,-0.46916854,-0.6522688,0.022993857
smoking_status_never smoked,0.06770073,-0.03978379,0.01149878,-0.052295648,-0.15979312,0.50614804,0.63921213,-0.046850827,0.20045933,-0.061218776,-0.008133511
smoking_status_smokes,0.031046486,-0.018976329,0.012351768,0.024721444,0.025281772,-0.010666621,-0.19778399,-0.08573371,-0.41318038,0.7158025,-0.082616754
