dataset,stage,variant,features,accuracy,precision,recall,f1,roc_auc,mcc,cohen_kappa,train_time
dataset1,baseline,without_pca,21,0.9500978473581212,0.4285714285714285,0.06,0.1052631578947368,0.8307201646090535,0.1461603552249302,0.0943809292143031,0.2969933999993372
dataset1,baseline,with_pca,11,0.949119373776908,0.3333333333333333,0.04,0.0714285714285714,0.8010905349794238,0.1013224929778656,0.0615906201440882,0.2724744000006467
dataset1,balancing_tuning,balance_only,21,0.9119373776908024,0.1296296296296296,0.14,0.1346153846153846,0.7880041152263374,0.0883685073907094,0.0882959321227498,0.3307095999916782
dataset1,balancing_tuning,balance_pca,11,0.824853228962818,0.1271676300578034,0.44,0.1973094170403587,0.7715637860082304,0.1637392285973808,0.1313732752153311,0.2875328999944031
dataset1,balancing_tuning,balance_pca_tuned,11,0.7818003913894325,0.1553784860557769,0.78,0.2591362126245847,0.8117592592592593,0.2815838287239382,0.1933159187603089,0.2702166999952169
dataset2,baseline,without_pca,21,0.9612342607219252,0.9152242328874902,0.0985972198677742,0.1780166806947739,0.9319410896677714,0.2933960454611674,0.1711529747144538,86.91462730000785
dataset2,baseline,with_pca,11,0.9637882706799475,0.9722780233025312,0.1538396338362434,0.2656470114711209,0.9640757538251832,0.3792264081757788,0.257004262735785,70.28713529999368
dataset2,balancing_tuning,balance_only,21,0.8166417520634615,0.1807368429666849,0.9359849126970672,0.3029706501683894,0.937641950110168,0.3639441756526029,0.2494017786065264,4.480540200005635
dataset2,balancing_tuning,balance_pca,11,0.8572027862254872,0.2261774478196141,0.972219867774199,0.366980475592491,0.9713694724256118,0.4304028135526713,0.3200074058432532,3.909934700001031
dataset2,balancing_tuning,balance_pca_tuned,11,0.9663630302773324,0.5590046574787674,0.9944270215290728,0.7156920308365677,0.9976401393726466,0.7322173054085923,0.6993014961044401,22.534030099996016
