dataset,feature,mean_abs_shap
dataset1,PC1,1.0091089
dataset1,PC2,0.6869251
dataset1,PC3,0.3378755
dataset1,PC9,0.29699352
dataset1,PC10,0.20509596
dataset1,PC7,0.16252273
dataset1,PC11,0.15013726
dataset1,PC4,0.10179472
dataset1,PC5,0.09487858
dataset1,PC8,0.056616943
dataset1,PC6,0.022088224
dataset2,PC1,1.501285
dataset2,PC2,1.3460629
dataset2,PC8,0.6451777
dataset2,PC3,0.5846983
dataset2,PC10,0.54454476
dataset2,PC9,0.44363788
dataset2,PC4,0.42248735
dataset2,PC7,0.4056475
dataset2,PC5,0.40557736
dataset2,PC6,0.3840946
dataset2,PC11,0.33952945
