dataset,metric,without_pca_mean,with_pca_mean,mean_difference,paired_t_stat,paired_t_pvalue,mannwhitney_u_stat,mannwhitney_u_pvalue,t_significant_0.05,mw_significant_0.05
dataset1,accuracy,0.8145836329641881,0.7651721079629896,-0.0494115250011985,-6.743261487160449,8.429012362183103e-05,10.0,0.0028169056281937,True,True
dataset1,precision,0.1402903517791642,0.1419988922688263,0.001708540489662,0.2354685059452121,0.819115718507644,52.0,0.9097218891455552,False,False
dataset1,recall,0.5426315789473684,0.7426315789473684,0.2,6.0,0.0002024993220676,91.5,0.0018274172200875,True,True
dataset1,f1,0.2225083046625866,0.2380710180683716,0.015562713405785,1.3146012954467663,0.221155686530257,60.0,0.4726755935115871,False,False
dataset1,roc_auc,0.8101437785855463,0.8237823638250477,0.0136385852395013,1.62599390263766,0.1383954046582723,62.0,0.3846730627355087,False,False
dataset1,mcc,0.2044626924056714,0.2521588241897977,0.0476961317841262,2.735769978360352,0.023006268741359,69.0,0.1619724104801261,True,False
dataset1,cohen_kappa,0.1573379145928483,0.1701532494446929,0.0128153348518446,0.9958441520221588,0.3453448195464745,56.0,0.6775849579524755,False,False
dataset2,accuracy,0.9214237514443951,0.9654058090460788,0.0439820576016837,97.38650003169096,6.43719744267789e-15,100.0,0.0001826717911095,True,True
dataset2,precision,0.3500102611890665,0.5521598147961457,0.2021495536070792,78.68246168695983,4.379135970943552e-14,100.0,0.0001826717911095,True,True
dataset2,recall,0.9864967254416656,0.99364302625703,0.0071463008153642,23.131821131557786,2.5080967090926744e-09,100.0,0.0001816511460914,True,True
dataset2,f1,0.5166921997345738,0.7098322742037556,0.1931400744691818,85.16806062188599,2.148705735972785e-14,100.0,0.0001826717911095,True,True
dataset2,roc_auc,0.9895779847399933,0.9974737592396256,0.0078957744996323,76.01669017587245,5.96932498474779e-14,100.0,0.0001826717911095,True,True
dataset2,mcc,0.5622944979897471,0.7270193103048843,0.1647248123151372,82.81778507635764,2.7633031337388916e-14,100.0,0.0001826717911095,True,True
dataset2,cohen_kappa,0.4842785091195017,0.6930285952686688,0.208750086149167,85.6190174011352,2.04907918827035e-14,100.0,0.0001826717911095,True,True
